date,away_team,home_team,home_wins,home_recent_form,away_recent_form,form_advantage,home_recent_games,away_recent_games,h2h_home_advantage,home_run_diff,away_run_diff,run_diff_advantage,home_field
2025-08-22,St. Louis Cardinals,Tampa Bay Rays,1,0.2,0.5,-0.3,5,6,0.0,-4.0,-0.16666666666666666,-3.8333333333333335,1
2025-08-23,Boston Red Sox,New York Yankees,0,0.6666666666666666,0.5,0.16666666666666663,6,6,0.0,2.6666666666666665,0.0,2.6666666666666665,1
2025-08-23,Toronto Blue Jays,Miami Marlins,0,0.3333333333333333,0.5,-0.16666666666666669,6,6,0.0,-1.1666666666666667,1.5,-2.666666666666667,1
2025-08-23,Washington Nationals,Philadelphia Phillies,1,0.6666666666666666,0.6666666666666666,0.0,6,6,0.3333333333333333,2.5,0.16666666666666666,2.3333333333333335,1
2025-08-23,Kansas City Royals,Detroit Tigers,1,0.8333333333333334,0.7142857142857143,0.11904761904761907,6,7,1.0,2.3333333333333335,1.2857142857142858,1.0476190476190477,1
2025-08-23,Colorado Rockies,Pittsburgh Pirates,1,0.5,0.5714285714285714,-0.0714285714285714,6,7,1.0,1.0,-1.4285714285714286,2.428571428571429,1
2025-08-23,Cleveland Guardians,Texas Rangers,1,0.42857142857142855,0.16666666666666666,0.26190476190476186,7,6,1.0,-1.1428571428571428,-1.8333333333333333,0.6904761904761905,1
2025-08-23,Houston Astros,Baltimore Orioles,0,0.5,0.42857142857142855,0.07142857142857145,6,7,0.25,1.1666666666666667,-2.7142857142857144,3.8809523809523814,1
2025-08-23,San Francisco Giants,Milwaukee Brewers,0,0.5,0.2857142857142857,0.2142857142857143,8,7,1.0,0.625,-1.4285714285714286,2.053571428571429,1
2025-08-23,New York Mets,Atlanta Braves,0,0.6666666666666666,0.6666666666666666,0.0,6,6,0.0,0.5,1.8333333333333333,-1.3333333333333333,1
2025-08-23,Cincinnati Reds,Arizona Diamondbacks,1,0.5,0.5,0.0,6,6,1.0,-0.5,0.5,-1.0,1
2025-08-23,Los Angeles Dodgers,San Diego Padres,1,0.5714285714285714,0.5714285714285714,0.0,7,7,0.3333333333333333,1.1428571428571428,1.5714285714285714,-0.4285714285714286,1
2025-08-23,Chicago Cubs,Los Angeles Angels,0,0.3333333333333333,0.75,-0.4166666666666667,6,8,0.0,-0.6666666666666666,0.0,-0.6666666666666666,1
2025-08-23,Athletics,Seattle Mariners,0,0.16666666666666666,0.6666666666666666,-0.5,6,6,1.0,-3.5,1.3333333333333333,-4.833333333333333,1
2025-08-23,Minnesota Twins,Chicago White Sox,1,0.16666666666666666,0.3333333333333333,-0.16666666666666666,6,6,0.0,-1.3333333333333333,-0.6666666666666666,-0.6666666666666666,1
2025-08-24,Colorado Rockies,Pittsburgh Pirates,1,0.5714285714285714,0.5,0.0714285714285714,7,8,1.0,1.4285714285714286,-1.75,3.178571428571429,1
2025-08-24,St. Louis Cardinals,Tampa Bay Rays,1,0.3333333333333333,0.42857142857142855,-0.09523809523809523,6,7,0.5,-2.6666666666666665,-0.7142857142857143,-1.952380952380952,1
2025-08-24,Houston Astros,Baltimore Orioles,1,0.42857142857142855,0.5,-0.07142857142857145,7,8,0.2,0.8571428571428571,-2.25,3.107142857142857,1
2025-08-24,New York Mets,Atlanta Braves,1,0.5714285714285714,0.7142857142857143,-0.1428571428571429,7,7,0.0,-0.5714285714285714,2.5714285714285716,-3.1428571428571432,1
2025-08-24,Kansas City Royals,Detroit Tigers,0,0.8571428571428571,0.625,0.2321428571428571,7,8,1.0,2.2857142857142856,0.875,1.4107142857142856,1
2025-08-24,Toronto Blue Jays,Miami Marlins,1,0.2857142857142857,0.5714285714285714,-0.2857142857142857,7,7,0.0,-1.1428571428571428,1.4285714285714286,-2.571428571428571,1
2025-08-24,Washington Nationals,Philadelphia Phillies,1,0.7142857142857143,0.5714285714285714,0.1428571428571429,7,7,0.5,2.4285714285714284,-0.14285714285714285,2.571428571428571,1
2025-08-24,San Francisco Giants,Milwaukee Brewers,0,0.4444444444444444,0.375,0.06944444444444442,9,8,0.5,-0.1111111111111111,-0.5,0.3888888888888889,1
