date,season,home_team,away_team,home_wins,home_win_rate,away_win_rate,win_rate_advantage,home_runs_per_game,away_runs_per_game,home_runs_allowed_per_game,away_runs_allowed_per_game,offensive_advantage,defensive_advantage,home_run_differential,away_run_differential,run_diff_advantage,h2h_advantage,is_early_season,is_late_season,home_field
2022-04-13,2022,Pittsburgh Pirates,Chicago Cubs,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
2022-04-13,2022,Cincinnati Reds,Cleveland Guardians,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
2022-04-13,2022,Atlanta Braves,Washington Nationals,0,0.5,0.3333333333333333,0.16666666666666669,5.5,3.8333333333333335,5.666666666666667,6.166666666666667,1.6666666666666665,0.5,-0.16666666666666696,-2.3333333333333335,2.1666666666666665,0.5,1,0,1
2022-04-13,2022,San Francisco Giants,San Diego Padres,1,0.5,0.6666666666666666,-0.16666666666666663,4.5,4.166666666666667,4.5,2.5,0.33333333333333304,-2.0,0.0,1.666666666666667,-1.666666666666667,0.5,1,0,1
2022-04-13,2022,Arizona Diamondbacks,Houston Astros,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
2022-04-13,2022,Texas Rangers,Colorado Rockies,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
2022-04-13,2022,Philadelphia Phillies,New York Mets,0,0.5,0.6666666666666666,-0.16666666666666663,4.5,4.166666666666667,4.5,2.1666666666666665,0.33333333333333304,-2.3333333333333335,0.0,2.0000000000000004,-2.0000000000000004,0.5,1,0,1
2022-04-14,2022,New York Yankees,Toronto Blue Jays,1,0.5,0.6666666666666666,-0.16666666666666663,3.5,4.833333333333333,3.3333333333333335,5.166666666666667,-1.333333333333333,1.8333333333333335,0.16666666666666652,-0.3333333333333339,0.5000000000000004,0.3333333333333333,1,0,1
2022-04-14,2022,Miami Marlins,Philadelphia Phillies,1,0.5,0.5,0.0,4.5,4.166666666666667,4.5,4.333333333333333,0.33333333333333304,-0.16666666666666696,0.0,-0.16666666666666607,0.16666666666666607,0.5,1,0,1
2022-04-14,2022,Pittsburgh Pirates,Washington Nationals,1,0.5,0.42857142857142855,0.07142857142857145,4.5,3.7142857142857144,4.5,5.428571428571429,0.7857142857142856,0.9285714285714288,0.0,-1.7142857142857144,1.7142857142857144,0.5,1,0,1
