date,away_team,home_team,home_wins,temperature,wind_speed,humidity,is_dome,month,home_rest_days,away_rest_days,rest_advantage,home_games_last_week,away_games_last_week,fatigue_advantage,home_recent_offense,away_recent_offense,home_recent_defense,away_recent_defense,offensive_advantage,defensive_advantage,travel_factor,home_field
2025-08-21,Texas Rangers,Kansas City Royals,1,80,5,60,0,8,1,1,0,5,5,0,4.8,4.6,3.0,6.0,0.20000000000000018,3.0,1,1
2025-08-21,San Francisco Giants,San Diego Padres,1,80,5,60,0,8,1,1,0,5,5,0,4.0,2.8,3.4,3.8,1.2000000000000002,0.3999999999999999,0,1
2025-08-21,Houston Astros,Baltimore Orioles,0,80,5,60,0,8,2,1,1,4,5,1,6.5,1.4,2.75,6.8,5.1,4.05,1,1
2025-08-21,Boston Red Sox,New York Yankees,0,80,5,60,0,8,1,2,-1,4,4,0,9.75,4.0,4.75,5.0,5.75,0.25,1,1
2025-08-21,St. Louis Cardinals,Tampa Bay Rays,0,77,0,55,1,8,1,1,0,4,5,1,2.5,5.8,6.75,6.6,-3.3,-0.15000000000000036,1,1
2025-08-21,New York Mets,Washington Nationals,1,80,5,60,0,8,1,1,0,4,4,0,4.25,5.5,5.75,2.5,-1.25,-3.25,1,1
2025-08-22,Toronto Blue Jays,Miami Marlins,0,90,5,60,0,8,2,2,0,5,5,0,4.6,5.6,5.4,4.4,-1.0,-1.0,1,1
2025-08-22,Colorado Rockies,Pittsburgh Pirates,1,80,5,60,0,8,2,1,1,5,6,1,2.8,5.4,3.4,6.2,-2.6000000000000005,2.8000000000000003,1,1
2025-08-22,Washington Nationals,Philadelphia Phillies,0,80,5,60,0,8,2,1,1,5,5,0,8.0,5.2,4.8,5.2,2.8,0.40000000000000036,1,1
2025-08-22,Houston Astros,Baltimore Orioles,0,80,5,60,0,8,1,1,0,5,6,1,5.6,1.8,3.6,6.4,3.8,2.8000000000000003,1,1
2025-08-22,Boston Red Sox,New York Yankees,0,80,5,60,0,8,1,1,0,5,5,0,8.4,4.4,5.0,4.6,4.0,-0.40000000000000036,1,1
2025-08-22,Kansas City Royals,Detroit Tigers,1,75,5,60,0,8,2,1,1,5,6,1,5.4,4.8,3.0,3.4,0.6000000000000005,0.3999999999999999,1,1
2025-08-22,New York Mets,Atlanta Braves,0,80,5,60,0,8,2,1,1,5,5,0,7.2,5.0,5.6,3.8,2.2,-1.7999999999999998,1,1
2025-08-22,Cleveland Guardians,Texas Rangers,1,90,5,60,0,8,1,2,-1,6,5,-1,5.0,3.0,4.4,5.0,2.0,0.5999999999999996,1,1
2025-08-22,Minnesota Twins,Chicago White Sox,0,75,12,60,0,8,2,1,1,5,5,0,5.4,4.2,6.6,5.4,1.2000000000000002,-1.1999999999999993,1,1
2025-08-22,San Francisco Giants,Milwaukee Brewers,1,80,5,60,0,8,1,1,0,7,6,-1,3.8,3.4,3.0,5.0,0.3999999999999999,2.0,1,1
2025-08-22,Chicago Cubs,Los Angeles Angels,0,80,5,60,0,8,2,1,1,5,7,2,4.0,3.0,4.6,3.8,1.0,-0.7999999999999998,1,1
2025-08-22,Cincinnati Reds,Arizona Diamondbacks,1,90,5,60,0,8,2,2,0,5,5,0,4.4,3.8,5.2,3.0,0.6000000000000005,-2.2,1,1
2025-08-22,Los Angeles Dodgers,San Diego Padres,1,80,5,60,0,8,1,1,0,6,6,0,5.6,6.2,3.0,5.0,-0.6000000000000005,2.0,1,1
2025-08-22,Athletics,Seattle Mariners,1,80,5,60,0,8,2,1,1,5,5,0,3.4,6.0,7.8,4.2,-2.6,-3.5999999999999996,1,1
2025-08-22,St. Louis Cardinals,Tampa Bay Rays,1,77,0,55,1,8,1,1,0,5,6,1,2.8,5.6,6.8,5.0,-2.8,-1.7999999999999998,1,1
2025-08-23,Boston Red Sox,New York Yankees,0,80,5,60,0,8,1,1,0,6,6,0,6.0,3.2,3.6,3.6,2.8,0.0,1,1
2025-08-23,Toronto Blue Jays,Miami Marlins,0,90,5,60,0,8,1,1,0,6,6,0,4.0,3.8,5.0,4.4,0.20000000000000018,-0.5999999999999996,1,1
2025-08-23,Washington Nationals,Philadelphia Phillies,1,80,5,60,0,8,1,1,0,6,6,0,8.8,5.8,5.4,6.0,3.000000000000001,0.5999999999999996,1,1
2025-08-23,Kansas City Royals,Detroit Tigers,1,75,5,60,0,8,1,1,0,6,7,1,5.2,4.6,3.0,4.4,0.6000000000000005,1.4000000000000004,1,1
2025-08-23,Colorado Rockies,Pittsburgh Pirates,1,80,5,60,0,8,1,1,0,6,7,1,4.4,4.2,2.8,7.0,0.20000000000000018,4.2,1,1
2025-08-23,Cleveland Guardians,Texas Rangers,1,90,5,60,0,8,1,1,0,7,6,-1,3.8,3.4,4.2,3.8,0.3999999999999999,-0.40000000000000036,1,1
2025-08-23,Houston Astros,Baltimore Orioles,0,80,5,60,0,8,1,1,0,6,7,1,6.2,3.8,4.6,5.4,2.4000000000000004,0.8000000000000007,1,1
2025-08-23,San Francisco Giants,Milwaukee Brewers,0,80,5,60,0,8,1,1,0,8,7,-1,3.4,2.8,3.8,5.8,0.6000000000000001,2.0,1,1
2025-08-23,New York Mets,Atlanta Braves,0,80,5,60,0,8,1,1,0,6,6,0,6.6,6.8,7.8,5.0,-0.20000000000000018,-2.8,1,1
2025-08-23,Cincinnati Reds,Arizona Diamondbacks,1,90,5,60,0,8,1,1,0,6,6,0,4.2,3.8,4.2,3.0,0.40000000000000036,-1.2000000000000002,1,1
2025-08-23,Los Angeles Dodgers,San Diego Padres,1,80,5,60,0,8,1,1,0,7,7,0,5.2,5.4,2.2,4.6,-0.20000000000000018,2.3999999999999995,1,1
2025-08-23,Chicago Cubs,Los Angeles Angels,0,80,5,60,0,8,1,1,0,6,8,2,4.0,3.6,3.8,2.8,0.3999999999999999,-1.0,1,1
2025-08-23,Athletics,Seattle Mariners,0,80,5,60,0,8,1,1,0,6,6,0,3.8,5.0,7.6,4.4,-1.2000000000000002,-3.1999999999999993,1,1
2025-08-23,Minnesota Twins,Chicago White Sox,1,75,13,60,0,8,1,1,0,6,6,0,6.4,5.0,7.2,5.2,1.4000000000000004,-2.0,1,1
2025-08-24,Colorado Rockies,Pittsburgh Pirates,1,80,5,60,0,8,1,1,0,6,7,1,4.8,3.6,2.2,7.4,1.1999999999999997,5.2,1,1
2025-08-24,St. Louis Cardinals,Tampa Bay Rays,1,77,0,55,1,8,2,2,0,5,6,1,4.4,6.0,7.8,5.4,-1.5999999999999996,-2.3999999999999995,1,1
2025-08-24,Houston Astros,Baltimore Orioles,1,80,5,60,0,8,1,1,0,6,7,1,5.4,5.6,6.4,5.0,-0.1999999999999993,-1.4000000000000004,1,1
2025-08-24,New York Mets,Atlanta Braves,1,80,5,60,0,8,1,1,0,6,6,0,6.0,7.2,8.8,4.8,-1.2000000000000002,-4.000000000000001,1,1
2025-08-24,Kansas City Royals,Detroit Tigers,0,75,5,60,0,8,1,1,0,6,7,1,5.8,4.2,1.8,4.6,1.5999999999999996,2.8,1,1
2025-08-24,Toronto Blue Jays,Miami Marlins,1,90,5,60,0,8,1,1,0,6,6,0,4.2,4.4,5.8,3.6,-0.20000000000000018,-2.1999999999999997,1,1
2025-08-24,Washington Nationals,Philadelphia Phillies,1,80,5,60,0,8,1,1,0,6,6,0,7.8,4.8,4.4,5.0,3.0,0.5999999999999996,1,1
